Restaurant B,Shared_Voter_Count,Votes,Rank,Category A,Restaurant A,Category B
Deep Run Roadhouse,4,81,5.0,Date Night,LOpossum,BBQ
Zorch,28,229,1.0,Date Night,LOpossum,Pizza
Hot For Pizza,16,95,5.0,Date Night,LOpossum,Pizza
8 ½ in The Fan,13,118,4.0,Date Night,LOpossum,Pizza
Belmont Pizza,11,120,3.0,Date Night,LOpossum,Pizza
Pizza Bones,7,124,2.0,Date Night,LOpossum,Pizza
TBT El Gallo,21,166,2.0,Date Night,LOpossum,Tacos
El Chido,13,98,5.0,Date Night,LOpossum,Tacos
Dont Look Back,13,129,3.0,Date Night,LOpossum,Tacos
Y Tu Mama,11,84,6.0,Date Night,LOpossum,Tacos
En Su Boca,9,111,4.0,Date Night,LOpossum,Tacos
Cobra Burger,31,317,1.0,Date Night,LOpossum,Burgers
Beauvine Burger Concept,23,180,2.0,Date Night,LOpossum,Burgers
Cobra Cabana,15,110,4.0,Date Night,LOpossum,Burgers
Eazzy Burger,10,91,6.0,Date Night,LOpossum,Burgers
Boulevard Burger and Brew,9,110,4.0,Date Night,LOpossum,Burgers
Coppolas Deli,18,132,3.0,Date Night,LOpossum,Sandwich
Garnetts,18,173,1.0,Date Night,LOpossum,Sandwich
Chioccas,15,126,4.0,Date Night,LOpossum,Sandwich
Stanleys,15,158,2.0,Date Night,LOpossum,Sandwich
Union Market,11,108,7.0,Date Night,LOpossum,Sandwich
Lucky AF,30,268,1.0,Date Night,LOpossum,Sushi
Akida,19,196,2.0,Date Night,LOpossum,Sushi
Fighting Fish,17,126,3.0,Date Night,LOpossum,Sushi
Sumo San,8,55,8.0,Date Night,LOpossum,Sushi
Sticky Rice,8,96,4.0,Date Night,LOpossum,Sushi
Goatocado,17,182,1.0,Date Night,LOpossum,Veg
821 Cafe,15,147,2.0,Date Night,LOpossum,Veg
Roots Natural Kitchen,12,119,3.0,Date Night,LOpossum,Veg
Nile Ethiopian,10,93,4.0,Date Night,LOpossum,Veg
Harrison Street Cafe,8,64,5.0,Date Night,LOpossum,Veg
Sabai,16,140,2.0,Date Night,LOpossum,Curry
Lemon Cuisine of India,14,183,1.0,Date Night,LOpossum,Curry
Mekong,12,128,3.0,Date Night,LOpossum,Curry
Moms Siam,11,114,5.0,Date Night,LOpossum,Curry
Tulsi Indian Cuisine,10,121,4.0,Date Night,LOpossum,Curry
Pho Tay Do,28,248,1.0,Date Night,LOpossum,Noodles
Mekong,21,210,2.0,Date Night,LOpossum,Noodles
Pho Thein Phat / Pho So 1,11,125,3.0,Date Night,LOpossum,Noodles
Vietnam 1,9,76,7.0,Date Night,LOpossum,Noodles
My Noodle,9,78,6.0,Date Night,LOpossum,Noodles
City Dogs,31,294,1.0,Date Night,LOpossum,Hot Dogs
Black Lodge,15,84,2.0,Date Night,LOpossum,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,11,77,4.0,Date Night,LOpossum,Hot Dogs
The Boardwalk,10,58,8.0,Date Night,LOpossum,Hot Dogs
Horne Dogs,8,71,5.0,Date Night,LOpossum,Hot Dogs
Fat Dragon,18,209,1.0,Date Night,LOpossum,Fried Rice
Peter Chang Richmond,17,128,2.0,Date Night,LOpossum,Fried Rice
Sabai,11,71,4.0,Date Night,LOpossum,Fried Rice
Mekong,9,89,3.0,Date Night,LOpossum,Fried Rice
Thai Top Ten,5,35,8.0,Date Night,LOpossum,Fried Rice
Moore Street Cafe,19,171,1.0,Date Night,LOpossum,Breakfast
Perlys,14,161,2.0,Date Night,LOpossum,Breakfast
Joes Inn the Fan,12,128,3.0,Date Night,LOpossum,Breakfast
SBs Main Street Love Shack,10,107,4.0,Date Night,LOpossum,Breakfast
Millies Diner,8,77,5.0,Date Night,LOpossum,Breakfast
Garnetts,23,137,1.0,Date Night,LOpossum,Lunch
Union Market,15,135,2.0,Date Night,LOpossum,Lunch
Joes Inn In The Fan,14,123,4.0,Date Night,LOpossum,Lunch
Kuba Kuba,13,135,2.0,Date Night,LOpossum,Lunch
Coppolas Deli,10,83,5.0,Date Night,LOpossum,Lunch
Perlys,20,163,1.0,Date Night,LOpossum,Brunch
LUNCH.SUPPER!,13,131,2.0,Date Night,LOpossum,Brunch
Helens,12,65,7.0,Date Night,LOpossum,Brunch
Millies Diner,10,83,4.0,Date Night,LOpossum,Brunch
Can Can,9,62,8.0,Date Night,LOpossum,Brunch
Intergalactic Tacos,14,95,4.0,Date Night,LOpossum,Food Truck
River City Wood Fire,11,133,3.0,Date Night,LOpossum,Food Truck
Smashed RVA,11,190,1.0,Date Night,LOpossum,Food Truck
Sammich,7,44,10.0,Date Night,LOpossum,Food Truck
Eat My Eggroll,7,42,11.0,Date Night,LOpossum,Food Truck
Lamplighter Coffee Roasters,16,109,2.0,Date Night,LOpossum,Cafe
Blanchards,12,146,1.0,Date Night,LOpossum,Cafe
The Smoky Mug,9,75,5.0,Date Night,LOpossum,Cafe
Sub Rosa,9,97,3.0,Date Night,LOpossum,Cafe
Stir Crazy Cafe,8,62,6.0,Date Night,LOpossum,Cafe
ZZQ,49,598,1.0,Date Night,Stellas,BBQ
Alamo / Frontier by Alamo,11,88,4.0,Date Night,Stellas,BBQ
Buz and Neds Real Barbecue,10,59,7.0,Date Night,Stellas,BBQ
Deep Run Roadhouse,9,81,5.0,Date Night,Stellas,BBQ
The Smoky Mug,7,99,3.0,Date Night,Stellas,BBQ
Zorch,17,229,1.0,Date Night,Stellas,Pizza
Mary Angelas,13,94,6.0,Date Night,Stellas,Pizza
8 ½ in The Fan,12,118,4.0,Date Night,Stellas,Pizza
Belmont Pizza,9,120,3.0,Date Night,Stellas,Pizza
Pizza Bones,8,124,2.0,Date Night,Stellas,Pizza
Dont Look Back,19,129,3.0,Date Night,Stellas,Tacos
Cabo Fish Taco,10,184,1.0,Date Night,Stellas,Tacos
TBT El Gallo,10,166,2.0,Date Night,Stellas,Tacos
En Su Boca,10,111,4.0,Date Night,Stellas,Tacos
Y Tu Mama,7,84,6.0,Date Night,Stellas,Tacos
Cobra Burger,19,317,1.0,Date Night,Stellas,Burgers
Beauvine Burger Concept,17,180,2.0,Date Night,Stellas,Burgers
Smashed RVA,11,154,3.0,Date Night,Stellas,Burgers
Eazzy Burger,9,91,6.0,Date Night,Stellas,Burgers
Cobra Cabana,8,110,4.0,Date Night,Stellas,Burgers
Garnetts,17,173,1.0,Date Night,Stellas,Sandwich
Coppolas Deli,16,132,3.0,Date Night,Stellas,Sandwich
Perlys,13,115,6.0,Date Night,Stellas,Sandwich
Secret Sandwich Society,13,120,5.0,Date Night,Stellas,Sandwich
Stanleys,11,158,2.0,Date Night,Stellas,Sandwich
Lucky AF,23,268,1.0,Date Night,Stellas,Sushi
Akida,22,196,2.0,Date Night,Stellas,Sushi
Sticky Rice,9,96,4.0,Date Night,Stellas,Sushi
Osaka Sushi and Steak,8,69,5.0,Date Night,Stellas,Sushi
Fighting Fish,8,126,3.0,Date Night,Stellas,Sushi
Goatocado,21,182,1.0,Date Night,Stellas,Veg
Roots Natural Kitchen,14,119,3.0,Date Night,Stellas,Veg
821 Cafe,13,147,2.0,Date Night,Stellas,Veg
Harrison Street Cafe,7,64,5.0,Date Night,Stellas,Veg
Fresca on Addison,6,49,7.0,Date Night,Stellas,Veg
Sabai,18,140,2.0,Date Night,Stellas,Curry
Lemon Cuisine of India,16,183,1.0,Date Night,Stellas,Curry
Tulsi Indian Cuisine,13,121,4.0,Date Night,Stellas,Curry
Moms Siam,10,114,5.0,Date Night,Stellas,Curry
Kismet Modern Indian RVA,9,56,7.0,Date Night,Stellas,Curry
Pho Tay Do,30,248,1.0,Date Night,Stellas,Noodles
Mekong,29,210,2.0,Date Night,Stellas,Noodles
Pho Luca,8,106,4.0,Date Night,Stellas,Noodles
Pho Thein Phat / Pho So 1,7,125,3.0,Date Night,Stellas,Noodles
My Noodle,7,78,6.0,Date Night,Stellas,Noodles
City Dogs,33,294,1.0,Date Night,Stellas,Hot Dogs
Melitos,10,57,9.0,Date Night,Stellas,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,9,77,4.0,Date Night,Stellas,Hot Dogs
Carytown Burgers and Fries,8,44,11.0,Date Night,Stellas,Hot Dogs
The Boardwalk,7,58,8.0,Date Night,Stellas,Hot Dogs
Fat Dragon,23,209,1.0,Date Night,Stellas,Fried Rice
Peter Chang Richmond,18,128,2.0,Date Night,Stellas,Fried Rice
Mekong,9,89,3.0,Date Night,Stellas,Fried Rice
Sabai,7,71,4.0,Date Night,Stellas,Fried Rice
Thai Top Ten,5,35,8.0,Date Night,Stellas,Fried Rice
Joes Inn the Fan,15,128,3.0,Date Night,Stellas,Breakfast
Moore Street Cafe,15,171,1.0,Date Night,Stellas,Breakfast
Perlys,12,161,2.0,Date Night,Stellas,Breakfast
Millies Diner,10,77,5.0,Date Night,Stellas,Breakfast
Nates Bagels,9,67,6.0,Date Night,Stellas,Breakfast
Kuba Kuba,21,135,2.0,Date Night,Stellas,Lunch
Joes Inn In The Fan,15,123,4.0,Date Night,Stellas,Lunch
Garnetts,10,137,1.0,Date Night,Stellas,Lunch
New York Deli,8,51,7.0,Date Night,Stellas,Lunch
Coppolas Deli,8,83,5.0,Date Night,Stellas,Lunch
LUNCH.SUPPER!,19,131,2.0,Date Night,Stellas,Brunch
Perlys,18,163,1.0,Date Night,Stellas,Brunch
Millies Diner,10,83,4.0,Date Night,Stellas,Brunch
Joes Inn the Fan,8,71,6.0,Date Night,Stellas,Brunch
SBs Main Street Love Shack,8,107,3.0,Date Night,Stellas,Brunch
Smashed RVA,15,190,1.0,Date Night,Stellas,Food Truck
River City Wood Fire,14,133,3.0,Date Night,Stellas,Food Truck
1115 (Eleven Fifteen),7,136,2.0,Date Night,Stellas,Food Truck
Boka Tako Truck,6,51,8.0,Date Night,Stellas,Food Truck
Eat My Eggroll,6,42,11.0,Date Night,Stellas,Food Truck
Blanchards,13,146,1.0,Date Night,Stellas,Cafe
Lamplighter Coffee Roasters,10,109,2.0,Date Night,Stellas,Cafe
Sugar and Twine,10,76,4.0,Date Night,Stellas,Cafe
Black Hand Coffee Co.,7,33,14.0,Date Night,Stellas,Cafe
Roastology,6,50,8.0,Date Night,Stellas,Cafe
ZZQ,42,598,1.0,Date Night,Grisette,BBQ
Deep Run Roadhouse,6,81,5.0,Date Night,Grisette,BBQ
Alamo / Frontier by Alamo,6,88,4.0,Date Night,Grisette,BBQ
The Smoky Mug,6,99,3.0,Date Night,Grisette,BBQ
Smohk RVA BBQ,3,133,2.0,Date Night,Grisette,BBQ
Pizza Bones,17,124,2.0,Date Night,Grisette,Pizza
Zorch,16,229,1.0,Date Night,Grisette,Pizza
Secret Squares,6,69,8.0,Date Night,Grisette,Pizza
Hot For Pizza,5,95,5.0,Date Night,Grisette,Pizza
8 ½ in The Fan,5,118,4.0,Date Night,Grisette,Pizza
TBT El Gallo,18,166,2.0,Date Night,Grisette,Tacos
El Chido,9,98,5.0,Date Night,Grisette,Tacos
En Su Boca,7,111,4.0,Date Night,Grisette,Tacos
Y Tu Mama,6,84,6.0,Date Night,Grisette,Tacos
La Milpa,3,62,8.0,Date Night,Grisette,Tacos
Cobra Burger,26,317,1.0,Date Night,Grisette,Burgers
Beauvine Burger Concept,23,180,2.0,Date Night,Grisette,Burgers
Smashed RVA,5,154,3.0,Date Night,Grisette,Burgers
Eazzy Burger,5,91,6.0,Date Night,Grisette,Burgers
Cobra Cabana,3,110,4.0,Date Night,Grisette,Burgers
Fat Kid Sandwiches in Hatch Local,15,90,8.0,Date Night,Grisette,Sandwich
Union Market,11,108,7.0,Date Night,Grisette,Sandwich
Coppolas Deli,9,132,3.0,Date Night,Grisette,Sandwich
Chioccas,9,126,4.0,Date Night,Grisette,Sandwich
Garnetts,9,173,1.0,Date Night,Grisette,Sandwich
Akida,19,196,2.0,Date Night,Grisette,Sushi
Fighting Fish,12,126,3.0,Date Night,Grisette,Sushi
Lucky AF,7,268,1.0,Date Night,Grisette,Sushi
Osaka Sushi and Steak,6,69,5.0,Date Night,Grisette,Sushi
Miyabi Sushi,5,68,6.0,Date Night,Grisette,Sushi
821 Cafe,11,147,2.0,Date Night,Grisette,Veg
Goatocado,11,182,1.0,Date Night,Grisette,Veg
Nile Ethiopian,9,93,4.0,Date Night,Grisette,Veg
Sen Organic Small Plate,6,51,6.0,Date Night,Grisette,Veg
Soul N Vinegar,4,39,11.0,Date Night,Grisette,Veg
Tulsi Indian Cuisine,11,121,4.0,Date Night,Grisette,Curry
Lemon Cuisine of India,10,183,1.0,Date Night,Grisette,Curry
The Patio Thai,9,62,6.0,Date Night,Grisette,Curry
Mekong,6,128,3.0,Date Night,Grisette,Curry
Moms Siam,6,114,5.0,Date Night,Grisette,Curry
Pho Tay Do,16,248,1.0,Date Night,Grisette,Noodles
Pho Luca,14,106,4.0,Date Night,Grisette,Noodles
Mekong,9,210,2.0,Date Night,Grisette,Noodles
Pho Thein Phat / Pho So 1,6,125,3.0,Date Night,Grisette,Noodles
Moms Siam,6,83,5.0,Date Night,Grisette,Noodles
City Dogs,18,294,1.0,Date Night,Grisette,Hot Dogs
Black Lodge,9,84,2.0,Date Night,Grisette,Hot Dogs
Horne Dogs,5,71,5.0,Date Night,Grisette,Hot Dogs
Boulevard Burger and Brew,5,79,3.0,Date Night,Grisette,Hot Dogs
Pops Dogs and Mas Burgers,4,46,10.0,Date Night,Grisette,Hot Dogs
Fat Dragon,10,209,1.0,Date Night,Grisette,Fried Rice
Sabai,6,71,4.0,Date Night,Grisette,Fried Rice
Full Kee,5,44,7.0,Date Night,Grisette,Fried Rice
Peter Chang Richmond,5,128,2.0,Date Night,Grisette,Fried Rice
Lucky AF,4,49,6.0,Date Night,Grisette,Fried Rice
Moore Street Cafe,14,171,1.0,Date Night,Grisette,Breakfast
Perlys,11,161,2.0,Date Night,Grisette,Breakfast
Joes Inn the Fan,8,128,3.0,Date Night,Grisette,Breakfast
SBs Main Street Love Shack,7,107,4.0,Date Night,Grisette,Breakfast
The Liberty Public House,7,41,11.0,Date Night,Grisette,Breakfast
Union Market,16,135,2.0,Date Night,Grisette,Lunch
Garnetts,14,137,1.0,Date Night,Grisette,Lunch
Coppolas Deli,6,83,5.0,Date Night,Grisette,Lunch
Kuba Kuba,6,135,2.0,Date Night,Grisette,Lunch
Joes Inn In The Fan,6,123,4.0,Date Night,Grisette,Lunch
The Liberty Public House,10,55,10.0,Date Night,Grisette,Brunch
Joes Inn the Fan,9,71,6.0,Date Night,Grisette,Brunch
Perlys,8,163,1.0,Date Night,Grisette,Brunch
Helens,7,65,7.0,Date Night,Grisette,Brunch
Moore Street Cafe,6,83,4.0,Date Night,Grisette,Brunch
Smashed RVA,14,190,1.0,Date Night,Grisette,Food Truck
1115 (Eleven Fifteen),10,136,2.0,Date Night,Grisette,Food Truck
Intergalactic Tacos,8,95,4.0,Date Night,Grisette,Food Truck
Auntie Nings,7,84,5.0,Date Night,Grisette,Food Truck
River City Wood Fire,5,133,3.0,Date Night,Grisette,Food Truck
Blanchards,11,146,1.0,Date Night,Grisette,Cafe
Sub Rosa,10,97,3.0,Date Night,Grisette,Cafe
Afterglow Coffee Cooperative,8,53,7.0,Date Night,Grisette,Cafe
Riverbend Roastery,7,49,9.0,Date Night,Grisette,Cafe
Lamplighter Coffee Roasters,7,109,2.0,Date Night,Grisette,Cafe
ZZQ,45,598,1.0,Date Night,Alewife,BBQ
Alamo / Frontier by Alamo,4,88,4.0,Date Night,Alewife,BBQ
The Smoky Mug,4,99,3.0,Date Night,Alewife,BBQ
Redemption BBQ and Market,3,29,10.0,Date Night,Alewife,BBQ
Buz and Neds Real Barbecue,2,59,7.0,Date Night,Alewife,BBQ
Pizza Bones,19,124,2.0,Date Night,Alewife,Pizza
Zorch,17,229,1.0,Date Night,Alewife,Pizza
8 ½ in The Fan,7,118,4.0,Date Night,Alewife,Pizza
Belmont Pizza,5,120,3.0,Date Night,Alewife,Pizza
The Hop Craft Pizza and Beer,4,40,11.0,Date Night,Alewife,Pizza
TBT El Gallo,9,166,2.0,Date Night,Alewife,Tacos
Y Tu Mama,8,84,6.0,Date Night,Alewife,Tacos
Sincero,8,29,14.0,Date Night,Alewife,Tacos
El Chido,8,98,5.0,Date Night,Alewife,Tacos
En Su Boca,7,111,4.0,Date Night,Alewife,Tacos
Cobra Burger,27,317,1.0,Date Night,Alewife,Burgers
Cobra Cabana,8,110,4.0,Date Night,Alewife,Burgers
Beauvine Burger Concept,7,180,2.0,Date Night,Alewife,Burgers
Eazzy Burger,6,91,6.0,Date Night,Alewife,Burgers
Boulevard Burger and Brew,3,110,4.0,Date Night,Alewife,Burgers
Stanleys,13,158,2.0,Date Night,Alewife,Sandwich
Garnetts,10,173,1.0,Date Night,Alewife,Sandwich
Perlys,9,115,6.0,Date Night,Alewife,Sandwich
Chioccas,8,126,4.0,Date Night,Alewife,Sandwich
Union Market,7,108,7.0,Date Night,Alewife,Sandwich
Fighting Fish,14,126,3.0,Date Night,Alewife,Sushi
Akida,12,196,2.0,Date Night,Alewife,Sushi
Lucky AF,12,268,1.0,Date Night,Alewife,Sushi
Miyabi Sushi,6,68,6.0,Date Night,Alewife,Sushi
LEVEL,5,66,7.0,Date Night,Alewife,Sushi
Goatocado,10,182,1.0,Date Night,Alewife,Veg
Nile Ethiopian,9,93,4.0,Date Night,Alewife,Veg
Harrison Street Cafe,6,64,5.0,Date Night,Alewife,Veg
821 Cafe,6,147,2.0,Date Night,Alewife,Veg
Soul N Vinegar,5,39,11.0,Date Night,Alewife,Veg
Lemon Cuisine of India,14,183,1.0,Date Night,Alewife,Curry
Mekong,8,128,3.0,Date Night,Alewife,Curry
Kismet Modern Indian RVA,7,56,7.0,Date Night,Alewife,Curry
Sabai,6,140,2.0,Date Night,Alewife,Curry
Thai Top Ten,5,52,9.0,Date Night,Alewife,Curry
Pho Tay Do,17,248,1.0,Date Night,Alewife,Noodles
Pho Thein Phat / Pho So 1,11,125,3.0,Date Night,Alewife,Noodles
Mekong,10,210,2.0,Date Night,Alewife,Noodles
Pho Luca,6,106,4.0,Date Night,Alewife,Noodles
Grace Noodle,4,48,8.0,Date Night,Alewife,Noodles
City Dogs,13,294,1.0,Date Night,Alewife,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,7,77,4.0,Date Night,Alewife,Hot Dogs
Black Lodge,6,84,2.0,Date Night,Alewife,Hot Dogs
Pops Dogs and Mas Burgers,5,46,10.0,Date Night,Alewife,Hot Dogs
The Boardwalk,5,58,8.0,Date Night,Alewife,Hot Dogs
Fat Dragon,9,209,1.0,Date Night,Alewife,Fried Rice
Peter Chang Richmond,6,128,2.0,Date Night,Alewife,Fried Rice
Mekong,5,89,3.0,Date Night,Alewife,Fried Rice
KOGI,3,21,12.0,Date Night,Alewife,Fried Rice
Sabai,3,71,4.0,Date Night,Alewife,Fried Rice
Perlys,19,161,2.0,Date Night,Alewife,Breakfast
Moore Street Cafe,10,171,1.0,Date Night,Alewife,Breakfast
SBs Main Street Love Shack,7,107,4.0,Date Night,Alewife,Breakfast
Joes Inn the Fan,7,128,3.0,Date Night,Alewife,Breakfast
Millies Diner,5,77,5.0,Date Night,Alewife,Breakfast
Union Market,18,135,2.0,Date Night,Alewife,Lunch
Garnetts,11,137,1.0,Date Night,Alewife,Lunch
Kuba Kuba,8,135,2.0,Date Night,Alewife,Lunch
Joes Inn In The Fan,7,123,4.0,Date Night,Alewife,Lunch
Cobra Cabana,3,61,6.0,Date Night,Alewife,Lunch
Perlys,22,163,1.0,Date Night,Alewife,Brunch
Millies Diner,8,83,4.0,Date Night,Alewife,Brunch
Joes Inn the Fan,6,71,6.0,Date Night,Alewife,Brunch
The Liberty Public House,5,55,10.0,Date Night,Alewife,Brunch
Helens,4,65,7.0,Date Night,Alewife,Brunch
Auntie Nings,13,84,5.0,Date Night,Alewife,Food Truck
Smashed RVA,6,190,1.0,Date Night,Alewife,Food Truck
gpoll48a41b8ea,6,18,15.0,Date Night,Alewife,Food Truck
Intergalactic Tacos,6,95,4.0,Date Night,Alewife,Food Truck
1115 (Eleven Fifteen),5,136,2.0,Date Night,Alewife,Food Truck
Afterglow Coffee Cooperative,9,53,7.0,Date Night,Alewife,Cafe
Sub Rosa,8,97,3.0,Date Night,Alewife,Cafe
Blanchards,7,146,1.0,Date Night,Alewife,Cafe
Riverbend Roastery,6,49,9.0,Date Night,Alewife,Cafe
Stir Crazy Cafe,6,62,6.0,Date Night,Alewife,Cafe
ZZQ,80,598,1.0,Brunch,Perlys,BBQ
The Smoky Mug,11,99,3.0,Brunch,Perlys,BBQ
Deep Run Roadhouse,8,81,5.0,Brunch,Perlys,BBQ
Alamo / Frontier by Alamo,8,88,4.0,Brunch,Perlys,BBQ
Pig and Brew,6,33,9.0,Brunch,Perlys,BBQ
Pizza Bones,28,124,2.0,Brunch,Perlys,Pizza
Zorch,24,229,1.0,Brunch,Perlys,Pizza
8 ½ in The Fan,17,118,4.0,Brunch,Perlys,Pizza
Belmont Pizza,15,120,3.0,Brunch,Perlys,Pizza
Mary Angelas,11,94,6.0,Brunch,Perlys,Pizza
TBT El Gallo,23,166,2.0,Brunch,Perlys,Tacos
El Chido,21,98,5.0,Brunch,Perlys,Tacos
Y Tu Mama,17,84,6.0,Brunch,Perlys,Tacos
La Milpa,12,62,8.0,Brunch,Perlys,Tacos
Abuelitas,10,39,10.0,Brunch,Perlys,Tacos
Cobra Burger,55,317,1.0,Brunch,Perlys,Burgers
Beauvine Burger Concept,28,180,2.0,Brunch,Perlys,Burgers
Cobra Cabana,11,110,4.0,Brunch,Perlys,Burgers
Eazzy Burger,10,91,6.0,Brunch,Perlys,Burgers
Smashed RVA,6,154,3.0,Brunch,Perlys,Burgers
Perlys,34,115,6.0,Brunch,Perlys,Sandwich
Stanleys,23,158,2.0,Brunch,Perlys,Sandwich
Garnetts,17,173,1.0,Brunch,Perlys,Sandwich
Coppolas Deli,16,132,3.0,Brunch,Perlys,Sandwich
Chioccas,12,126,4.0,Brunch,Perlys,Sandwich
Fighting Fish,36,126,3.0,Brunch,Perlys,Sushi
Akida,33,196,2.0,Brunch,Perlys,Sushi
Lucky AF,19,268,1.0,Brunch,Perlys,Sushi
Miyabi Sushi,11,68,6.0,Brunch,Perlys,Sushi
LEVEL,8,66,7.0,Brunch,Perlys,Sushi
Nile Ethiopian,21,93,4.0,Brunch,Perlys,Veg
Goatocado,20,182,1.0,Brunch,Perlys,Veg
821 Cafe,12,147,2.0,Brunch,Perlys,Veg
Roots Natural Kitchen,11,119,3.0,Brunch,Perlys,Veg
Harrison Street Cafe,8,64,5.0,Brunch,Perlys,Veg
Lemon Cuisine of India,27,183,1.0,Brunch,Perlys,Curry
Tulsi Indian Cuisine,18,121,4.0,Brunch,Perlys,Curry
Sabai,16,140,2.0,Brunch,Perlys,Curry
Moms Siam,12,114,5.0,Brunch,Perlys,Curry
Kismet Modern Indian RVA,12,56,7.0,Brunch,Perlys,Curry
Pho Tay Do,49,248,1.0,Brunch,Perlys,Noodles
Pho Thein Phat / Pho So 1,17,125,3.0,Brunch,Perlys,Noodles
Mekong,16,210,2.0,Brunch,Perlys,Noodles
My Noodle,13,78,6.0,Brunch,Perlys,Noodles
Pho Luca,12,106,4.0,Brunch,Perlys,Noodles
City Dogs,41,294,1.0,Brunch,Perlys,Hot Dogs
The Boardwalk,12,58,8.0,Brunch,Perlys,Hot Dogs
Fat Kid Sandwiches inside Hatch Local,12,77,4.0,Brunch,Perlys,Hot Dogs
Black Lodge,10,84,2.0,Brunch,Perlys,Hot Dogs
The Doghouse,5,40,13.0,Brunch,Perlys,Hot Dogs
Peter Chang Richmond,24,128,2.0,Brunch,Perlys,Fried Rice
Fat Dragon,13,209,1.0,Brunch,Perlys,Fried Rice
Full Kee,10,44,7.0,Brunch,Perlys,Fried Rice
Sabai,7,71,4.0,Brunch,Perlys,Fried Rice
Moms Siam,7,50,5.0,Brunch,Perlys,Fried Rice
Perlys,68,161,2.0,Brunch,Perlys,Breakfast
Moore Street Cafe,23,171,1.0,Brunch,Perlys,Breakfast
Joes Inn the Fan,15,128,3.0,Brunch,Perlys,Breakfast
Millies Diner,8,77,5.0,Brunch,Perlys,Breakfast
Nates Bagels,7,67,6.0,Brunch,Perlys,Breakfast
Union Market,28,135,2.0,Brunch,Perlys,Lunch
Garnetts,25,137,1.0,Brunch,Perlys,Lunch
Kuba Kuba,20,135,2.0,Brunch,Perlys,Lunch
Cobra Cabana,10,61,6.0,Brunch,Perlys,Lunch
Coppolas Deli,10,83,5.0,Brunch,Perlys,Lunch
Edos Squid,24,139,1.0,Brunch,Perlys,Date Night
Alewife,22,75,5.0,Brunch,Perlys,Date Night
LOpossum,20,130,2.0,Brunch,Perlys,Date Night
Stellas,18,124,3.0,Brunch,Perlys,Date Night
The Roosevelt,9,62,6.0,Brunch,Perlys,Date Night
Auntie Nings,23,84,5.0,Brunch,Perlys,Food Truck
Intergalactic Tacos,14,95,4.0,Brunch,Perlys,Food Truck
River City Wood Fire,11,133,3.0,Brunch,Perlys,Food Truck
1115 (Eleven Fifteen),11,136,2.0,Brunch,Perlys,Food Truck
Smashed RVA,10,190,1.0,Brunch,Perlys,Food Truck
Sub Rosa,22,97,3.0,Brunch,Perlys,Cafe
Blanchards,16,146,1.0,Brunch,Perlys,Cafe
Lamplighter Coffee Roasters,16,109,2.0,Brunch,Perlys,Cafe
Ironclad Coffee Roasters,10,48,10.0,Brunch,Perlys,Cafe
Stir Crazy Cafe,10,62,6.0,Brunch,Perlys,Cafe
ZZQ,54,598,1.0,Brunch,LUNCH.SUPPER!,BBQ
Deep Run Roadhouse,15,81,5.0,Brunch,LUNCH.SUPPER!,BBQ
Alamo / Frontier by Alamo,9,88,4.0,Brunch,LUNCH.SUPPER!,BBQ
Smohk RVA BBQ,6,133,2.0,Brunch,LUNCH.SUPPER!,BBQ
Mission BBQ,6,69,6.0,Brunch,LUNCH.SUPPER!,BBQ
Zorch,17,229,1.0,Brunch,LUNCH.SUPPER!,Pizza
Mary Angelas,13,94,6.0,Brunch,LUNCH.SUPPER!,Pizza
8 ½ in The Fan,12,118,4.0,Brunch,LUNCH.SUPPER!,Pizza
PBR,9,75,7.0,Brunch,LUNCH.SUPPER!,Pizza
Pizza Bones,8,124,2.0,Brunch,LUNCH.SUPPER!,Pizza
En Su Boca,19,111,4.0,Brunch,LUNCH.SUPPER!,Tacos
TBT El Gallo,16,166,2.0,Brunch,LUNCH.SUPPER!,Tacos
Dont Look Back,14,129,3.0,Brunch,LUNCH.SUPPER!,Tacos
Cabo Fish Taco,12,184,1.0,Brunch,LUNCH.SUPPER!,Tacos
Y Tu Mama,9,84,6.0,Brunch,LUNCH.SUPPER!,Tacos
Cobra Burger,25,317,1.0,Brunch,LUNCH.SUPPER!,Burgers
Smashed RVA,15,154,3.0,Brunch,LUNCH.SUPPER!,Burgers
Eazzy Burger,14,91,6.0,Brunch,LUNCH.SUPPER!,Burgers
Boulevard Burger and Brew,13,110,4.0,Brunch,LUNCH.SUPPER!,Burgers
Beauvine Burger Concept,10,180,2.0,Brunch,LUNCH.SUPPER!,Burgers
Secret Sandwich Society,21,120,5.0,Brunch,LUNCH.SUPPER!,Sandwich
Chioccas,15,126,4.0,Brunch,LUNCH.SUPPER!,Sandwich
Garnetts,13,173,1.0,Brunch,LUNCH.SUPPER!,Sandwich
Coppolas Deli,12,132,3.0,Brunch,LUNCH.SUPPER!,Sandwich
Union Market,11,108,7.0,Brunch,LUNCH.SUPPER!,Sandwich
Lucky AF,36,268,1.0,Brunch,LUNCH.SUPPER!,Sushi
Akida,20,196,2.0,Brunch,LUNCH.SUPPER!,Sushi
Red Salt Chophouse and Sushi,11,45,9.0,Brunch,LUNCH.SUPPER!,Sushi
